name;category;sourceCategory;status4;status6;status9;status12;recommendedAgeInMonths;seasonText;seasons;quantity4;quantity6;quantity9;quantity12;restriction;isAllergen;iconName;shortDescription
artichaut;vegetable;Légumes;possible;recommended;recommended;recommended;6;mars à septembre;3,4,5,6,7,8,9;;;;;;false;🌿;Légume à introduire progressivement, saison : mars à septembre.
asperge;vegetable;Légumes;possible;possible;recommended;recommended;9;avril à juin;4,5,6;;;;;;false;🌿;Légume à introduire progressivement, saison : avril à juin.
aubergine;vegetable;Légumes;recommended;recommended;recommended;recommended;4;juin à septembre;6,7,8,9;;;;;;false;🍆;Légume conseillé dès 4 mois, saison : juin à septembre.
avocat;vegetable;Légumes;possible;recommended;recommended;recommended;6;octobre à avril;1,2,3,4,10,11,12;;;;;;false;🥑;Texture fondante à proposer progressivement.
blette;vegetable;Légumes;recommended;recommended;recommended;recommended;4;juin à novembre;6,7,8,9,10,11;;;;;;false;🥬;Légume conseillé dès 4 mois, saison : juin à novembre.
betterave;vegetable;Légumes;recommended;recommended;recommended;recommended;4;octobre à mars;1,2,3,10,11,12;;;;;;false;🫜;Légume conseillé dès 4 mois, saison : octobre à mars.
brocoli;vegetable;Légumes;recommended;recommended;recommended;recommended;4;juin à novembre;6,7,8,9,10,11;;;;;;false;🥦;Goût végétal marqué à proposer en petite quantité.
carotte;vegetable;Légumes;recommended;recommended;recommended;recommended;4;toute l'année;1,2,3,4,5,6,7,8,9,10,11,12;;;;;;false;🥕;Douce, lisse et souvent appréciée pour les premières purées.
céleri-branche;vegetable;Légumes;possible;recommended;recommended;recommended;6;juillet à janvier;1,7,8,9,10,11,12;;;;;;false;🥬;Légume à introduire progressivement, saison : juillet à janvier.
céleri-rave;vegetable;Légumes;recommended;recommended;recommended;recommended;4;octobre à mars;1,2,3,10,11,12;;;;;;false;🥬;Légume conseillé dès 4 mois, saison : octobre à mars.
champignon;vegetable;Légumes;possible;recommended;recommended;recommended;6;toute l'année;1,2,3,4,5,6,7,8,9,10,11,12;;;;;;false;🍄;À proposer bien cuit, en petite quantité.
chou blanc;vegetable;Légumes;possible;possible;recommended;recommended;9;octobre à avril;1,2,3,4,10,11,12;;;;;;false;🥬;Chou à proposer progressivement selon la tolérance digestive.
chou de Bruxelles;vegetable;Légumes;possible;possible;recommended;recommended;9;septembre à mars;1,2,3,9,10,11,12;;;;;;false;🥬;Chou à proposer progressivement selon la tolérance digestive.
chou rouge;vegetable;Légumes;possible;possible;recommended;recommended;9;octobre à avril;1,2,3,4,10,11,12;;;;;;false;🥬;Chou à proposer progressivement selon la tolérance digestive.
chou vert;vegetable;Légumes;possible;possible;recommended;recommended;9;octobre à avril;1,2,3,4,10,11,12;;;;;;false;🥬;Chou à proposer progressivement selon la tolérance digestive.
chou-fleur;vegetable;Légumes;possible;possible;recommended;recommended;9;septembre à avril;1,2,3,4,9,10,11,12;;;;;;false;🥬;Chou à proposer progressivement selon la tolérance digestive.
